brand,image,colours
adage_studio_project_x_unrefyned,last_three_10.jpg,White
adage_studio_project_x_unrefyned,last_three_2.jpg,Blue
adage_studio_project_x_unrefyned,last_three_5.jpg,Grey
adage_studio_project_x_unrefyned,last_three_7.jpg,"White, Grey"
adage_studio_project_x_unrefyned,last_three_9.jpg,White
adama_paris,adama_paris_1.jpg,"Yellow, Orange"
adama_paris,adama_paris_10.jpg,"Orange, Yellow"
adama_paris,adama_paris_15.jpg,"Brown, Black, Cream/Khaki/Beige"
adama_paris,adama_paris_17.jpg,"Orange, Red"
adama_paris,adama_paris_18.jpg,Black
adama_paris,adama_paris_19.jpg,Brown
adama_paris,adama_paris_22.jpg,"Orange, Brown"
adama_paris,adama_paris_23.jpg,"Black, Yellow, Brown"
adama_paris,adama_paris_3.jpg,Orange
adama_paris,adama_paris_4.jpg,"Orange, Yellow"
adama_paris,adama_paris_6.jpg,"Yellow, Brown"
adama_paris,adama_paris_8.jpg,"Cream/Khaki/Beige, Orange"
adama_paris,adama_paris_9.jpg,Yellow
ajabeng,ajabeng_1.jpg,"Yellow, Cream/Khaki/Beige, Orange"
ajabeng,ajabeng_10.jpg,"Brown, Grey, Black, Pink"
ajabeng,ajabeng_11.jpg,Grey
ajabeng,ajabeng_12.jpg,"Grey, Black"
ajabeng,ajabeng_13.jpg,"Black, Grey"
ajabeng,ajabeng_14.jpg,"Blue, Black, Grey"
ajabeng,ajabeng_15.jpg,"Black, Grey"
ajabeng,ajabeng_2.jpg,Yellow
ajabeng,ajabeng_3.jpg,"Orange, Brown, Red"
ajabeng,ajabeng_4.jpg,Blue
ajabeng,ajabeng_5.jpg,"Cream/Khaki/Beige, Brown"
ajabeng,ajabeng_6.jpg,"Cream/Khaki/Beige, White"
ajabeng,ajabeng_7.jpg,"Yellow, Cream/Khaki/Beige"
ajabeng,ajabeng_9.jpg,"Pink, White"
ajanee,ajanee_1.jpg,Red
ajanee,ajanee_10.jpg,"White, Blue"
ajanee,ajanee_11.jpg,Red
ajanee,ajanee_12.jpg,"Cream/Khaki/Beige, Red"
ajanee,ajanee_13.jpg,Blue
ajanee,ajanee_14.jpg,Blue
ajanee,ajanee_15.jpg,"Black, Red"
ajanee,ajanee_16.jpg,"Blue, Yellow"
ajanee,ajanee_18.jpg,Red
ajanee,ajanee_19.jpg,"Black, Pink, Red"
ajanee,ajanee_2.jpg,Cream/Khaki/Beige
ajanee,ajanee_20.jpg,Red
ajanee,ajanee_3.jpg,"Pink, Blue"
ajanee,ajanee_4.jpg,Yellow
ajanee,ajanee_5.jpg,"Orange, Cream/Khaki/Beige, Yellow"
ajanee,ajanee_6.jpg,Cream/Khaki/Beige
ajanee,ajanee_7.jpg,"White, Blue, Grey"
ajanee,ajanee_8.jpg,"White, Grey"
ajanee,ajanee_9.jpg,"Blue, Grey"
babayo,babayo_1.jpg,"Cream/Khaki/Beige, Brown"
babayo,babayo_10.jpg,Cream/Khaki/Beige
babayo,babayo_11.jpg,"Cream/Khaki/Beige, Grey"
babayo,babayo_12.jpg,Cream/Khaki/Beige
babayo,babayo_14.jpg,"Orange, Cream/Khaki/Beige, Brown"
babayo,babayo_17.jpg,"Red, Orange"
babayo,babayo_18.jpg,"Grey, Black, Cream/Khaki/Beige, Orange"
babayo,babayo_19.jpg,"Brown, Grey, Black, Pink"
babayo,babayo_2.jpg,"Cream/Khaki/Beige, Brown"
babayo,babayo_20.jpg,"Black, Pink, White"
babayo,babayo_21.jpg,"Black, Pink"
babayo,babayo_23.jpg,"Blue, Black, Pink"
babayo,babayo_24.jpg,"Black, Cream/Khaki/Beige"
babayo,babayo_25.jpg,"Black, Grey"
babayo,babayo_26.jpg,Cream/Khaki/Beige
babayo,babayo_27.jpg,Cream/Khaki/Beige
babayo,babayo_28.jpg,Cream/Khaki/Beige
babayo,babayo_29.jpg,"Pink, Cream/Khaki/Beige"
babayo,babayo_31.jpg,Cream/Khaki/Beige
babayo,babayo_32.jpg,Cream/Khaki/Beige
babayo,babayo_33.jpg,Cream/Khaki/Beige
babayo,babayo_4.jpg,"Cream/Khaki/Beige, White"
babayo,babayo_5.jpg,"White, Brown"
babayo,babayo_6.jpg,"Brown, Grey, Cream/Khaki/Beige"
babayo,babayo_7.jpg,"Cream/Khaki/Beige, Brown"
babayo,babayo_8.jpg,White
babayo,babayo_9.jpg,"Cream/Khaki/Beige, White"
boyedoe,boyedoe_1.jpg,"Cream/Khaki/Beige, Brown"
boyedoe,boyedoe_10.jpg,Blue
boyedoe,boyedoe_11.jpg,"Blue, White"
boyedoe,boyedoe_12.jpg,Blue
boyedoe,boyedoe_13.jpg,Blue
boyedoe,boyedoe_14.jpg,Blue
boyedoe,boyedoe_15.jpg,"Blue, White"
boyedoe,boyedoe_16.jpg,"Blue, Grey"
boyedoe,boyedoe_17.jpg,Grey
boyedoe,boyedoe_18.jpg,"White, Grey"
boyedoe,boyedoe_19.jpg,"Blue, Pink, Cream/Khaki/Beige, Purple"
boyedoe,boyedoe_2.jpg,Pink
boyedoe,boyedoe_20.jpg,"Orange, Blue, Red, Purple"
boyedoe,boyedoe_21.jpg,"Pink, Blue"
boyedoe,boyedoe_23.jpg,"Blue, Orange, Grey, Purple"
boyedoe,boyedoe_24.jpg,"Grey, Cream/Khaki/Beige, Purple, Orange"
boyedoe,boyedoe_25.jpg,"Blue, White, Orange"
boyedoe,boyedoe_26.jpg,"Blue, Grey, Orange"
boyedoe,boyedoe_28.jpg,"Green, Grey"
boyedoe,boyedoe_3.jpg,"Cream/Khaki/Beige, Brown"
boyedoe,boyedoe_4.jpg,"Pink, Cream/Khaki/Beige"
boyedoe,boyedoe_6.jpg,"Orange, Red, Brown"
boyedoe,boyedoe_7.jpg,"Blue, Cream/Khaki/Beige, Grey, Purple"
boyedoe,boyedoe_8.jpg,"Blue, Brown"
boyedoe,boyedoe_9.jpg,"Blue, Pink, White"
cynthia_abila,cynthia_abila_10.jpg,"Brown, Grey, White"
cynthia_abila,cynthia_abila_11.jpg,"Orange, Black, Grey"
cynthia_abila,cynthia_abila_12.jpg,"Orange, Brown"
cynthia_abila,cynthia_abila_14.jpg,"Orange, Cream/Khaki/Beige"
cynthia_abila,cynthia_abila_15.jpg,"Orange, Brown, Cream/Khaki/Beige, Purple"
cynthia_abila,cynthia_abila_16.jpg,"Orange, Black, Cream/Khaki/Beige"
cynthia_abila,cynthia_abila_17.jpg,"Orange, Cream/Khaki/Beige, Yellow, Purple"
cynthia_abila,cynthia_abila_18.jpg,"Orange, Brown, Green"
cynthia_abila,cynthia_abila_19.jpg,Yellow
cynthia_abila,cynthia_abila_21.jpg,"Green, Red"
cynthia_abila,cynthia_abila_22.jpg,"Blue, Cream/Khaki/Beige"
cynthia_abila,cynthia_abila_23.jpg,"Red, White"
cynthia_abila,cynthia_abila_24.jpg,"Red, Cream/Khaki/Beige"
cynthia_abila,cynthia_abila_25.jpg,"Black, Pink, Grey"
cynthia_abila,cynthia_abila_26.jpg,"Orange, Cream/Khaki/Beige"
cynthia_abila,cynthia_abila_3.jpg,"Pink, Brown"
cynthia_abila,cynthia_abila_4.jpg,"Orange, Red"
cynthia_abila,cynthia_abila_5.jpg,"Yellow, Pink, Orange"
cynthia_abila,cynthia_abila_6.jpg,"Pink, Red"
cynthia_abila,cynthia_abila_7.jpg,"White, Orange"
cynthia_abila,cynthia_abila_8.jpg,"Black, Cream/Khaki/Beige"
cynthia_abila,cynthia_abila_9.jpg,"Cream/Khaki/Beige, White"
desiree_iyama,desiree_iyama_1.jpg,Cream/Khaki/Beige
desiree_iyama,desiree_iyama_10.jpg,"Pink, Purple"
desiree_iyama,desiree_iyama_11.jpg,"Grey, Cream/Khaki/Beige"
desiree_iyama,desiree_iyama_13.jpg,Purple
desiree_iyama,desiree_iyama_14.jpg,Brown
desiree_iyama,desiree_iyama_15.jpg,Pink
desiree_iyama,desiree_iyama_16.jpg,Brown
desiree_iyama,desiree_iyama_17.jpg,Pink
desiree_iyama,desiree_iyama_18.jpg,"Orange, Cream/Khaki/Beige, Purple"
desiree_iyama,desiree_iyama_19.jpg,Yellow
desiree_iyama,desiree_iyama_20.jpg,"Grey, Blue"
desiree_iyama,desiree_iyama_21.jpg,"Orange, Pink, Red"
desiree_iyama,desiree_iyama_22.jpg,"Yellow, Grey"
desiree_iyama,desiree_iyama_23.jpg,Orange
desiree_iyama,desiree_iyama_24.jpg,"Green, Brown"
desiree_iyama,desiree_iyama_25.jpg,Cream/Khaki/Beige
desiree_iyama,desiree_iyama_3.jpg,Grey
desiree_iyama,desiree_iyama_4.jpg,"Black, White"
desiree_iyama,desiree_iyama_5.jpg,"Black, Cream/Khaki/Beige"
desiree_iyama,desiree_iyama_6.jpg,White
desiree_iyama,desiree_iyama_7.jpg,"Blue, Brown, Black"
desiree_iyama,desiree_iyama_9.jpg,"Pink, Blue, Purple"
